Item Title,Publication Title,Book Series Title,Journal Volume,Journal Issue,Item DOI,Authors,Publication Year,URL,Content Type
"Training Set Similarity Based Parameter Selection for Statistical Machine Translation","Web and Big Data","","","","10.1007/978-3-319-96890-2_6","Xuewen ShiHeyan HuangPing JianYi-Kun Tang","2018","http://link.springer.com/chapter/10.1007/978-3-319-96890-2_6","Chapter"
"Reaction to Somers: Current research in Machine Translation","Machine Translation","","7","4","10.1007/BF00398468","Doug Arnold","1992","http://link.springer.com/article/10.1007/BF00398468","Article"
"Neural Machine Translation System for Indic Languages Using Deep Neural Architecture","Smart and Innovative Trends in Next Generation Computing Technologies","","","","10.1007/978-981-10-8657-1_62","Parth ShahVishvajit BakarolaSupriya Pati","2018","http://link.springer.com/chapter/10.1007/978-981-10-8657-1_62","Chapter"
"Anuvaad Pranaali: A RESTful API for Machine Translation","Service-Oriented Computing – ICSOC 2016 Workshops","","","","10.1007/978-3-319-68136-8_20","Nehal J. WaniSharada Prasanna MohantySuresh PuriniDipti Misra Sharma","2017","http://link.springer.com/chapter/10.1007/978-3-319-68136-8_20","Chapter"
"The Influence of Different Methods on the Quality of the Russian-Tatar Neural Machine Translation","Artificial Intelligence","","","","10.1007/978-3-030-59535-7_18","Aidar KhusainovDjavdet SuleymanovRinat Gilmullin","2020","http://link.springer.com/chapter/10.1007/978-3-030-59535-7_18","Chapter"
"The Systran NLP Browser: An Application of Machine Translation Technology in Cross-Language Information Retrieval","Cross-Language Information Retrieval","","","","10.1007/978-1-4615-5661-9_9","Denis A. GachotElke LangeJin Yang","1998","http://link.springer.com/chapter/10.1007/978-1-4615-5661-9_9","Chapter"
"Defining a Human-Machine Teaming Model for AI-Powered Human-Centered Machine Translation Agent by Learning from Human-Human Group Discussion: Dialog Categories and Dialog Moves","Artificial Intelligence in HCI","","","","10.1007/978-3-030-50334-5_5","Ming QianDavis Qian","2020","http://link.springer.com/chapter/10.1007/978-3-030-50334-5_5","Chapter"
"Integration of a Spanish-to-LSE Machine Translation System into an e-learning Platform","Universal Access in Human-Computer Interaction. Applications and Services","","","","10.1007/978-3-642-21657-2_61","Fernando López-ColinoJavier TejedorJordi PortaJosé Colás","2011","http://link.springer.com/chapter/10.1007/978-3-642-21657-2_61","Chapter"
"Machine Translation from Japanese to Robot Language for Human-Friendly Communication","HCI International 2020 - Posters","","","","10.1007/978-3-030-50726-8_33","Nobuhito ManomeShuji ShinoharaKouta SuzukiShunji Mitsuyoshi","2020","http://link.springer.com/chapter/10.1007/978-3-030-50726-8_33","Chapter"
"The Impact of Named Entity Translation for Neural Machine Translation","Machine Translation","","","","10.1007/978-981-13-3083-4_6","Jinghui YanJiajun ZhangJinAn XuChengqing Zong","2019","http://link.springer.com/chapter/10.1007/978-981-13-3083-4_6","Chapter"
"A first-pass approach for evaluating machine translation systems","Machine Translation","","8","1 - 2","10.1007/BF00981242","Pamela W. JordanBonnie J. DorrJohn W. Benoit","1993","http://link.springer.com/article/10.1007/BF00981242","Article"
"The Use of a Structural N-gram Language Model in Generation-Heavy Hybrid Machine Translation","Natural Language Generation","","","","10.1007/978-3-540-27823-8_7","Nizar Habash","2004","http://link.springer.com/chapter/10.1007/978-3-540-27823-8_7","Chapter"
"W. John Hutchins (ed.), Early Years in Machine Translation: Memoirs and Biographies of Pioneers, Vol. 97 Amsterdam Studies in the Theory and History of Linguistic Science","Machine Translation","","18","1","10.1023/B:COAT.0000021732.15869.57","Jörg Schütz","2003","http://link.springer.com/article/10.1023/B%3ACOAT.0000021732.15869.57","Article"
"Pushpak Bhattacharyya: Machine translation","Machine Translation","","29","3 - 4","10.1007/s10590-015-9170-7","Annette Hautli-Janisz","2015","http://link.springer.com/article/10.1007/s10590-015-9170-7","Article"
"Improved Neural Machine Translation with Chinese Phonologic Features","Natural Language Processing and Chinese Computing","","","","10.1007/978-3-319-99495-6_26","Jian YangShuangzhi WuDongdong ZhangZhoujun LiMing Zhou","2018","http://link.springer.com/chapter/10.1007/978-3-319-99495-6_26","Chapter"
"Word Reordering Approaches for Bangla-English Statistical Machine Translation","Advances in Artificial Intelligence","","","","10.1007/978-3-642-13059-5_29","Maxim RoyFred Popowich","2010","http://link.springer.com/chapter/10.1007/978-3-642-13059-5_29","Chapter"
"Bilingual Machine Translation System Between Hindi and Sanskrit Languages","Advanced Informatics for Computing Research","","","","10.1007/978-981-15-0108-1_29","Neha BhadwalPrateek AgrawalVishu Madaan","2019","http://link.springer.com/chapter/10.1007/978-981-15-0108-1_29","Chapter"
"Multilingual Machine Translation of Closed Captions for Digital Television with Dynamic Dictionary Adaptation","Computer Processing of Oriental Languages. Beyond the Orient: The Research Challenges Ahead","","","","10.1007/11940098_44","Sanghwa YuhJungyun Seo","2006","http://link.springer.com/chapter/10.1007/11940098_44","Chapter"
"A Mixed Learning Objective for Neural Machine Translation","Chinese Computational Linguistics","","","","10.1007/978-3-030-63031-7_15","Wenjie LuLeiying ZhouGongshen LiuQuanhai Zhang","2020","http://link.springer.com/chapter/10.1007/978-3-030-63031-7_15","Chapter"
"Getting the Message In: A Global Company’s Experience with the New Generation of Low-Cost, High Performance Machine Translation Systems","Machine Translation: From Research to Real Users","","","","10.1007/3-540-45820-4_20","Verne Morland","2002","http://link.springer.com/chapter/10.1007/3-540-45820-4_20","Chapter"
"Corpus Based Machine Translation for Scientific Text","Artificial Intelligence Applications and Innovations","","","","10.1007/978-3-319-92007-8_17","Irsha TehseenGhulam Rasool TahirKhadija ShakeelMubbashir Ali","2018","http://link.springer.com/chapter/10.1007/978-3-319-92007-8_17","Chapter"
"Cost-Aware Learning Rate for Neural Machine Translation","Chinese Computational Linguistics and Natural Language Processing Based on Naturally Annotated Big Data","","","","10.1007/978-3-319-69005-6_8","Yang ZhaoYining WangJiajun ZhangChengqing Zong","2017","http://link.springer.com/chapter/10.1007/978-3-319-69005-6_8","Chapter"
"Zero Anaphora Resolution in Chinese and Its Application in Chinese-English Machine Translation","Natural Language Processing and Information Systems","","","","10.1007/978-3-540-73351-5_32","Jing PengKenji Araki","2007","http://link.springer.com/chapter/10.1007/978-3-540-73351-5_32","Chapter"
"An English-Hindi Statistical Machine Translation System","Natural Language Processing – IJCNLP 2004","","","","10.1007/978-3-540-30211-7_27","Raghavendra Udupa U.Tanveer A. Faruquie","2005","http://link.springer.com/chapter/10.1007/978-3-540-30211-7_27","Chapter"
"Log-Linear Weight Optimization Using Discriminative Ridge Regression Method in Statistical Machine Translation","Pattern Recognition and Image Analysis","","","","10.1007/978-3-319-58838-4_4","Mara Chinea-RiosGermán Sanchis-TrillesFrancisco Casacuberta","2017","http://link.springer.com/chapter/10.1007/978-3-319-58838-4_4","Chapter"
"The Direct Path May Not Be The Best: Portuguese-Chinese Neural Machine Translation","Progress in Artificial Intelligence","","","","10.1007/978-3-030-30244-3_62","Rodrigo SantosJoão SilvaAntónio BrancoDeyi Xiong","2019","http://link.springer.com/chapter/10.1007/978-3-030-30244-3_62","Chapter"
"Cross-Lingual Question Answering Using Off-the-Shelf Machine Translation","Multilingual Information Access for Text, Speech and Images","","","","10.1007/11519645_44","Kisuh AhnBeatrice AlexJohan BosTiphaine DalmasJochen L. LeidnerMatthew B. Smillie","2005","http://link.springer.com/chapter/10.1007/11519645_44","Chapter"
"Thinking Like Humans: A New Approach to Machine Translation","Artificial Intelligence","","","","10.1007/978-981-13-9129-3_18","Budditha HettigeAsoka KarunanandaGorge Rzevski","2019","http://link.springer.com/chapter/10.1007/978-981-13-9129-3_18","Chapter"
"A Hybrid Neural Machine Translation Technique for Translating Low Resource Languages","Machine Learning and Data Mining in Pattern Recognition","","","","10.1007/978-3-319-96133-0_26","Ebtesam H. AlmansorAhmed Al-Ani","2018","http://link.springer.com/chapter/10.1007/978-3-319-96133-0_26","Chapter"
"The Explanatory Combinatorial Dictionary as the Key Tool in Machine Translation","Advances in Natural Language Processing","","","","10.1007/11816508_2","Igor Mel’čuk","2006","http://link.springer.com/chapter/10.1007/11816508_2","Chapter"
"Yorick Wilks, Machine Translation: Its Scope and Limits","Machine Translation","","23","4","10.1007/s10590-009-9067-4","Sara Morrissey","2009","http://link.springer.com/article/10.1007/s10590-009-9067-4","Article"
"Refining Kazakh Word Alignment Using Simulation Modeling Methods for Statistical Machine Translation","Natural Language Processing and Chinese Computing","","","","10.1007/978-3-319-25207-0_38","Amandyk Kartbayev","2015","http://link.springer.com/chapter/10.1007/978-3-319-25207-0_38","Chapter"
"Controlling the Transition of Hidden States for Neural Machine Translation","Machine Translation","","","","10.1007/978-981-13-3083-4_8","Zaixiang ZhengShujian HuangXin-Yu DaiJiajun Chen","2019","http://link.springer.com/chapter/10.1007/978-981-13-3083-4_8","Chapter"
"Constructive machine translation evaluation","Machine Translation","","8","1 - 2","10.1007/BF00981244","Stephen Minnis","1993","http://link.springer.com/article/10.1007/BF00981244","Article"
"Identification of Subject Shareness for Korean-English Machine Translation","PRICAI 2008: Trends in Artificial Intelligence","","","","10.1007/978-3-540-89197-0_22","Kye-Sung KimSeong-Bae ParkHyun-Je SongSe-Young ParkSang-Jo Lee","2008","http://link.springer.com/chapter/10.1007/978-3-540-89197-0_22","Chapter"
"Statistical Machine Translation from Slovenian to English Using Reduced Morphology","Human Language Technology. Challenges of the Information Society","","","","10.1007/978-3-642-04235-5_39","Mirjam Sepesy MaučecJanez Brest","2009","http://link.springer.com/chapter/10.1007/978-3-642-04235-5_39","Chapter"
"A Content-Based Neural Reordering Model for Statistical Machine Translation","Machine Translation","","","","10.1007/978-981-10-7134-8_11","Yirong PanXiao LiYating YangChenggang MiRui DongWenxiao Zeng","2017","http://link.springer.com/chapter/10.1007/978-981-10-7134-8_11","Chapter"
"Source Segment Encoding for Neural Machine Translation","Natural Language Processing and Chinese Computing","","","","10.1007/978-3-319-99495-6_28","Qiang WangTong XiaoJingbo Zhu","2018","http://link.springer.com/chapter/10.1007/978-3-319-99495-6_28","Chapter"
"Reading Comprehension in Czech via Machine Translation and Cross-Lingual Transfer","Text, Speech, and Dialogue","","","","10.1007/978-3-030-58323-1_18","Kateřina MackováMilan Straka","2020","http://link.springer.com/chapter/10.1007/978-3-030-58323-1_18","Chapter"
"SyMGiza++: Symmetrized Word Alignment Models for Statistical Machine Translation","Security and Intelligent Information Systems","","","","10.1007/978-3-642-25261-7_30","Marcin Junczys-DowmuntArkadiusz Szał","2012","http://link.springer.com/chapter/10.1007/978-3-642-25261-7_30","Chapter"
"Bootstrapping the Lexicon Building Process for Machine Translation between ‘New’ Languages","Machine Translation: From Research to Real Users","","","","10.1007/3-540-45820-4_18","Ruvan Weerasinghe","2002","http://link.springer.com/chapter/10.1007/3-540-45820-4_18","Chapter"
"Decoding Optimization for Chinese-English Machine Translation via a Dependent Syntax Language Model","Artificial Intelligence and Computational Intelligence","","","","10.1007/978-3-642-23896-3_17","Ying LiuZhengtao YuTao ZhangXing Zhao","2011","http://link.springer.com/chapter/10.1007/978-3-642-23896-3_17","Chapter"
"Method of Sentiment Preservation in the Kazakh-Turkish Machine Translation","Computational Science and Its Applications – ICCSA 2020","","","","10.1007/978-3-030-58802-1_38","Lena ZhetkenbayGulmira BekmanovaBanu YergeshAltynbek Sharipbay","2020","http://link.springer.com/chapter/10.1007/978-3-030-58802-1_38","Chapter"
"A Model of Context Adapted to Domain-Independent Machine Translation","Modeling and Using Context","","","","10.1007/3-540-48315-2_5","Cathy Berthouzoz","1999","http://link.springer.com/chapter/10.1007/3-540-48315-2_5","Chapter"
"Responses to Current Research in Machine Translation by Harold Somers","Machine Translation","","7","4","10.1007/BF00398476","John S. White","1992","http://link.springer.com/article/10.1007/BF00398476","Article"
"Integration of a Noun Compound Translator Tool with Moses for English-Hindi Machine Translation and Evaluation","Computational Linguistics and Intelligent Text Processing","","","","10.1007/978-3-642-28601-8_6","Prashant MathurSoma Paul","2012","http://link.springer.com/chapter/10.1007/978-3-642-28601-8_6","Chapter"
"Machine translation and terminology database—uneasy bedfellows?","Machine Translation and the Lexicon","","","","10.1007/3-540-59040-4_25","","1995","http://link.springer.com/chapter/10.1007/3-540-59040-4_25","Chapter"
"Transfer in Machine Translation by Non-Confluent Term-Rewrite Systems","GWAI-89 13th German Workshop on Artificial Intelligence","","","","10.1007/978-3-642-75100-4_30","Wilhelm Weisweber","1989","http://link.springer.com/chapter/10.1007/978-3-642-75100-4_30","Chapter"
"Machine Translation in Context","Machine Translation and the Information Soup","","","","10.1007/3-540-49478-2_15","Kurt Godden","1998","http://link.springer.com/chapter/10.1007/3-540-49478-2_15","Chapter"
"Toward Machine Translation Linguistic Issues of Indian Sign Language","Speech and Language Processing for Human-Machine Communications","","","","10.1007/978-981-10-6626-9_14","Vivek Kumar VermaSumit Srivastava","2018","http://link.springer.com/chapter/10.1007/978-981-10-6626-9_14","Chapter"
"Quality estimation for machine translation: preface","Machine Translation","","27","3 - 4","10.1007/s10590-013-9145-5","Lucia SpeciaRadu Soricut","2013","http://link.springer.com/article/10.1007/s10590-013-9145-5","Article"
